ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,CPI came down,CPI came down_lower,CPI came down_upper,FOMC Meeting,FOMC Meeting_lower,FOMC Meeting_upper,German Government sell Bitcoin,German Government sell Bitcoin_lower,German Government sell Bitcoin_upper,Held steady,Held steady_lower,Held steady_upper,Raise +25 bps,Raise +25 bps_lower,Raise +25 bps_upper,eth lauch date,eth lauch date_lower,eth lauch date_upper,halved,halved_lower,halved_upper,holidays,holidays_lower,holidays_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
2016-01-02T00:00:00Z,211.05936092000002,-4830.826642852338,5161.604373093933,211.05936092000002,211.05936092000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006080571442387198,0.006080571442387198,0.006080571442387198,-0.00471730642262759,-0.00471730642262759,-0.00471730642262759,0.010797877865014788,0.010797877865014788,0.010797877865014788,0,0,0,212.34272244265867
2016-01-03T00:00:00Z,212.89215752697123,-4933.48977602595,5036.528663642243,212.89215752697123,212.89215752697123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008503488394443506,0.008503488394443506,0.008503488394443506,-0.0013218695236741928,-0.0013218695236741928,-0.0013218695236741928,0.009825357918117698,0.009825357918117698,0.009825357918117698,0,0,0,214.70248351776988
2016-01-04T00:00:00Z,214.72495413394245,-4582.149889074954,4998.805228999237,214.72495413394245,214.72495413394245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009565669112149787,0.009565669112149787,0.009565669112149787,0.0013618972647703401,0.0013618972647703401,0.0013618972647703401,0.008203771847379446,0.008203771847379446,0.008203771847379446,0,0,0,216.77894199530928
2016-01-05T00:00:00Z,216.5577507409137,-4856.1326975899265,5244.661653432055,216.5577507409137,216.5577507409137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008563883904402894,0.008563883904402894,0.008563883904402894,0.002624772799522051,0.002624772799522051,0.002624772799522051,0.005939111104880844,0.005939111104880844,0.005939111104880844,0,0,0,218.4123261768575
2016-01-06T00:00:00Z,218.3905473478849,-4792.755324742823,5130.056222013031,218.3905473478849,218.3905473478849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0075050444563446875,0.0075050444563446875,0.0075050444563446875,0.004453392852528428,0.004453392852528428,0.004453392852528428,0.00305165160381626,0.00305165160381626,0.00305165160381626,0,0,0,220.02957811457622
2016-01-07T00:00:00Z,220.22334395485615,-4902.008828334545,5194.035201345259,220.22334395485615,220.22334395485615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0009427303188732189,0.0009427303188732189,0.0009427303188732189,0.001366941000000491,0.001366941000000491,0.001366941000000491,-0.00042421068112727216,-0.00042421068112727216,-0.00042421068112727216,0,0,0,220.43095517812603
2016-01-08T00:00:00Z,222.0561405618274,-5044.167613061886,5010.829242340368,222.0561405618274,222.0561405618274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.008208271125196284,-0.008208271125196284,-0.008208271125196284,-0.0037678279705309794,-0.0037678279705309794,-0.0037678279705309794,-0.004440443154665304,-0.004440443154665304,-0.004440443154665304,0,0,0,220.2334435550812
2016-01-09T00:00:00Z,223.88893716879863,-4566.243570507208,4921.5156196201415,223.88893716879863,223.88893716879863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.013653477625761573,-0.013653477625761573,-0.013653477625761573,-0.0047173064226332,-0.0047173064226332,-0.0047173064226332,-0.008936171203128373,-0.008936171203128373,-0.008936171203128373,0,0,0,220.8320745745089
2016-01-10T00:00:00Z,225.72173377576985,-4599.623858131784,4685.614827670497,225.72173377576985,225.72173377576985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.01516063787736178,-0.01516063787736178,-0.01516063787736178,-0.0013218695236705458,-0.0013218695236705458,-0.0013218695236705458,-0.013838768353691236,-0.013838768353691236,-0.013838768353691236,0,0,0,222.29964830894514
2016-01-11T00:00:00Z,227.55453038274106,-4944.475707324819,5487.8092975269565,227.55453038274106,227.55453038274106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.017703321734655778,-0.017703321734655778,-0.017703321734655778,0.0013618972647716793,0.0013618972647716793,0.0013618972647716793,-0.01906521899942746,-0.01906521899942746,-0.01906521899942746,0,0,0,223.5260593191969
2016-01-12T00:00:00Z,229.3873269897123,-4718.3016225206065,5506.726397561312,229.3873269897123,229.3873269897123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.021898951043060885,-0.021898951043060885,-0.021898951043060885,0.002624772799523419,0.002624772799523419,0.002624772799523419,-0.024523723842584305,-0.024523723842584305,-0.024523723842584305,0,0,0,224.363985146066
2016-01-13T00:00:00Z,231.22012359668352,-5109.6005545557055,5209.315305720461,231.22012359668352,231.22012359668352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.025662119211223272,-0.025662119211223272,-0.025662119211223272,0.004453392852528326,0.004453392852528326,0.004453392852528326,-0.0301155120637516,-0.0301155120637516,-0.0301155120637516,0,0,0,225.28652522091164
2016-01-14T00:00:00Z,233.05292020365476,-4942.055638049587,5651.0701229754095,233.05292020365476,233.05292020365476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.03436987795564394,-0.03436987795564394,-0.03436987795564394,0.001366941000008312,0.001366941000008312,0.001366941000008312,-0.035736818955652255,-0.035736818955652255,-0.035736818955652255,0,0,0,225.04291977904873
2016-01-15T00:00:00Z,234.88571681062598,-4813.209641811689,5238.802118875848,234.88571681062598,234.88571681062598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.04504881147770815,-0.04504881147770815,-0.04504881147770815,-0.003767827970524712,-0.003767827970524712,-0.003767827970524712,-0.04128098350718344,-0.04128098350718344,-0.04128098350718344,0,0,0,224.30439443521774
2016-01-16T00:00:00Z,236.71851341759722,-4560.462513698327,5367.862388949105,236.71851341759722,236.71851341759722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.05135792372410511,-0.05135792372410511,-0.05135792372410511,-0.004717306422632701,-0.004717306422632701,-0.004717306422632701,-0.04664061730147241,-0.04664061730147241,-0.04664061730147241,0,0,0,224.5611420614127
2016-01-17T00:00:00Z,238.55131002456844,-4888.512783758076,5280.6815583097,238.55131002456844,238.55131002456844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.053031663709253475,-0.053031663709253475,-0.053031663709253475,-0.0013218695236682475,-0.0013218695236682475,-0.0013218695236682475,-0.05170979418558523,-0.05170979418558523,-0.05170979418558523,0,0,0,225.90053717394366
2016-01-18T00:00:00Z,240.3841066315397,-4956.1580901648895,5160.679028759374,240.3841066315397,240.3841066315397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.055024312267933424,-0.055024312267933424,-0.055024312267933424,0.0013618972647720794,0.0013618972647720794,0.0013618972647720794,-0.056386209532705504,-0.056386209532705504,-0.056386209532705504,0,0,0,227.15713648399765
2016-01-19T00:00:00Z,242.21690323851092,-4810.56829338589,5133.957675694742,242.21690323851092,242.21690323851092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.057948485771752184,-0.057948485771752184,-0.057948485771752184,0.002624772799516824,0.002624772799516824,0.002624772799516824,-0.06057325857126901,-0.06057325857126901,-0.06057325857126901,0,0,0,228.1808004675162
2016-01-20T00:00:00Z,244.04969984548214,-4856.349334718157,5096.110818881434,244.04969984548214,244.04969984548214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.05972859233119642,-0.05972859233119642,-0.05972859233119642,0.004453392852528304,0.004453392852528304,0.004453392852528304,-0.06418198518372473,-0.06418198518372473,-0.06418198518372473,0,0,0,229.4729548148605
2016-01-21T00:00:00Z,245.88249645245338,-4913.000384765129,5255.51716155925,245.88249645245338,245.88249645245338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.06576591473491229,-0.06576591473491229,-0.06576591473491229,0.0013669410000037856,0.0013669410000037856,0.0013669410000037856,-0.06713285573491608,-0.06713285573491608,-0.06713285573491608,0,0,0,229.71180915595394
2016-01-22T00:00:00Z,247.71523274776862,-4473.370634687224,5184.800685857871,247.71523274776862,247.71523274776862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.07312514476615141,-0.07312514476615141,-0.07312514476615141,-0.003767827970528002,-0.003767827970528002,-0.003767827970528002,-0.06935731679562342,-0.06935731679562342,-0.06935731679562342,0,0,0,229.60102049230716
2016-01-23T00:00:00Z,249.5479690430839,-5079.997200656526,4997.738851126633,249.5479690430839,249.5479690430839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.07551640739286249,-0.07551640739286249,-0.07551640739286249,-0.004717306422632203,-0.004717306422632203,-0.004717306422632203,-0.07079910097023029,-0.07079910097023029,-0.07079910097023029,0,0,0,230.70300294876495
2016-01-24T00:00:00Z,251.38070533839914,-4857.609022055469,5356.244020531769,251.38070533839914,251.38070533839914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.07273712080498555,-0.07273712080498555,-0.07273712080498555,-0.0013218695236659494,-0.0013218695236659494,-0.0013218695236659494,-0.0714152512813196,-0.0714152512813196,-0.0714152512813196,0,0,0,233.09599660615754
2016-01-25T00:00:00Z,253.2134416337144,-4881.5089177871705,5350.549053535836,253.2134416337144,253.2134416337144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0698149442823182,-0.0698149442823182,-0.0698149442823182,0.0013618972647712585,0.0013618972647712585,0.0013618972647712585,-0.07117684154708946,-0.07117684154708946,-0.07117684154708946,0,0,0,235.53535931452262
2016-01-26T00:00:00Z,255.04617792902965,-4640.516359477041,5220.508968511421,255.04617792902965,255.04617792902965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.06744460492861527,-0.06744460492861527,-0.06744460492861527,0.0026247727995181917,0.0026247727995181917,0.0026247727995181917,-0.07006937772813346,-0.07006937772813346,-0.07006937772813346,0,0,0,237.84468922005294
2016-01-27T00:00:00Z,256.8789142243449,-5022.2102394932235,5119.298205005032,256.8789142243449,256.8789142243449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.06363948027031076,-0.06363948027031076,-0.06363948027031076,0.004453392852528523,0.004453392852528523,0.004453392852528523,-0.06809287312283928,-0.06809287312283928,-0.06809287312283928,0,0,0,240.53127363070584
2016-01-28T00:00:00Z,258.71165051966017,-4710.523512420723,5250.53052309803,258.71165051966017,258.71165051966017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.06389465735134227,-0.06389465735134227,-0.06389465735134227,0.0013669410000001808,0.0013669410000001808,0.0013669410000001808,-0.06526159835134245,-0.06526159835134245,-0.06526159835134245,0,0,0,242.18135825690626
2016-01-29T00:00:00Z,260.54438681497544,-4737.724884667567,5248.5992718444695,260.54438681497544,260.54438681497544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.06537134304622762,-0.06537134304622762,-0.06537134304622762,-0.003767827970529951,-0.003767827970529951,-0.003767827970529951,-0.06160351507569767,-0.06160351507569767,-0.06160351507569767,0,0,0,243.51225032572466
2016-01-30T00:00:00Z,262.37712311029065,-4696.932676789101,5151.884253265261,262.37712311029065,262.37712311029065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.061876716575834816,-0.061876716575834816,-0.061876716575834816,-0.004717306422634758,-0.004717306422634758,-0.004717306422634758,-0.05715941015320006,-0.05715941015320006,-0.05715941015320006,0,0,0,246.14208822761228
2016-01-31T00:00:00Z,264.2098594056059,-4804.927523842873,5242.718280604782,264.2098594056059,264.2098594056059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.05330362373266887,-0.05330362373266887,-0.05330362373266887,-0.001321869523670825,-0.001321869523670825,-0.001321869523670825,-0.051981754208998046,-0.051981754208998046,-0.051981754208998046,0,0,0,250.12651647338816
2016-02-01T00:00:00Z,266.0425957009212,-4505.005109587349,5372.314468588127,266.0425957009212,266.0425957009212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.04477141799195512,-0.04477141799195512,-0.04477141799195512,0.001361897264771659,0.001361897264771659,0.001361897264771659,-0.04613331525672679,-0.04613331525672679,-0.04613331525672679,0,0,0,254.1314914451305
2016-02-02T00:00:00Z,267.8753319962364,-4794.582627684501,5340.734062992287,267.8753319962364,267.8753319962364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.03706079102067588,-0.03706079102067588,-0.03706079102067588,0.0026247727995195595,0.0026247727995195595,0.0026247727995195595,-0.03968556382019544,-0.03968556382019544,-0.03968556382019544,0,0,0,257.94766029752975
2016-02-03T00:00:00Z,269.7080682915517,-4663.626445206563,5414.658072194123,269.7080682915517,269.7080682915517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.028263518016192472,-0.028263518016192472,-0.028263518016192472,0.0044533928525287425,0.0044533928525287425,0.0044533928525287425,-0.032716910868721215,-0.032716910868721215,-0.032716910868721215,0,0,0,262.08516944428095
